,Unnamed: 0,Unnamed: 0.1,wl,n,k
0,0,0,0.25,2.3366,1.2666
1,1,1,0.26,2.5162,1.2593
2,2,2,0.27,2.6842,1.1723
3,3,3,0.28,2.8259,1.0441
4,4,4,0.29,2.9199,0.8955299999999999
5,5,5,0.3,2.989,0.74495
6,6,6,0.31,3.0298,0.5846399999999999
7,7,7,0.32,3.0469999999999997,0.34212
8,8,8,0.33,2.978,0.21147
9,9,9,0.33999999999999997,2.8713,0.11041
10,10,10,0.35000000000000003,2.7161,0.062965
11,11,11,0.36000000000000004,2.6577,0.027735000000000003
12,12,12,0.37,2.5963,0.012509000000000001
13,13,13,0.37999999999999995,2.5465,0.0064540000000000005
14,14,14,0.3900000000000001,2.5078,0.0042439999999999995
15,15,15,0.4,2.4791,0.004183
16,16,16,0.41,2.4538,-0.001394
17,17,17,0.42000000000000004,2.432,0.0008960000000000002
18,18,18,0.43,2.4124,0.002572
19,19,19,0.44,2.3951,0.002388
20,20,20,0.45,2.381,0.003254
21,21,21,0.45999999999999996,2.3673,0.002618
22,22,22,0.47000000000000003,2.3555,0.000147
23,23,23,0.48,2.3441,0.000546
24,24,24,0.49,2.3342,0.0017809999999999996
25,25,25,0.5,2.3253,0.002656
26,26,26,0.5099999999999999,2.3165,0.002788
27,27,27,0.52,2.309,0.0034240000000000004
28,28,28,0.5300000000000001,2.3016,0.004208
29,29,29,0.54,2.2948,0.004111
30,30,30,0.55,2.2889,0.004806
31,31,31,0.56,2.2829,0.004526
32,32,32,0.5700000000000001,2.2776,0.004462
33,33,33,0.58,2.2728,0.005038
34,34,34,0.5900000000000001,2.2619,-0.0043289999999999995
35,35,35,0.6,2.2579,-0.003543
36,36,36,0.61,2.2533,-0.003483
37,37,37,0.62,2.2494,-0.002729
38,38,38,0.63,2.2456,-0.002519
39,39,39,0.64,2.242,-0.00296
40,40,40,0.6500000000000001,2.2392,-0.001322
41,41,41,0.66,2.2361,-0.001652
42,42,42,0.67,2.2336,-0.0009699999999999999
43,43,43,0.6799999999999999,2.2305,-0.001541
44,44,44,0.6900000000000001,2.2282,-0.001098
45,45,45,0.7000000000000001,2.2256,-0.0012380000000000002
46,46,46,0.71,2.2232,-0.001351
47,47,47,0.72,2.2211,-0.000742
48,48,48,0.73,2.2187,-0.000839
49,49,49,0.74,2.2166,-0.00088
50,50,50,0.75,2.2145,-0.001123
51,51,51,0.7599999999999999,2.2128,-0.0008349999999999999
52,52,52,0.77,2.2112,-0.000244
53,53,53,0.7800000000000001,2.2095,-0.00032599999999999996
54,54,54,0.79,2.2081,0.000713
55,55,55,0.8,2.2063,0.00024900000000000004
56,56,56,0.81,2.2045,6.7e-05
57,57,57,0.8200000000000001,2.2030000000000003,0.00023199999999999997
58,58,58,0.8300000000000001,2.2017,0.000362
59,59,59,0.8400000000000001,2.2003,0.00047599999999999997
60,60,60,0.85,2.1992,0.0002220000000000001
61,61,61,0.86,2.1978,0.0008210000000000001
62,62,62,0.8699999999999999,2.1967,0.000533
63,63,63,0.88,2.1954,0.0006580000000000001
64,64,64,0.8900000000000001,2.1944,0.000813
65,65,65,0.9000000000000002,2.1933,0.000824
66,66,66,0.91,2.1922,0.000925
67,67,67,0.9199999999999999,2.1911,0.000908
68,68,68,0.93,2.1902,0.001007
69,69,69,0.9400000000000001,2.1892,0.0009279999999999999
70,70,70,0.95,2.1882,0.001045
71,71,71,0.96,2.1874,0.001232
72,72,72,0.9700000000000001,2.1867,0.0012230000000000001
73,73,73,0.98,2.1858,0.001224
74,74,74,0.99,2.1853,0.0012929999999999999
75,75,75,1.0,2.1841,0.001068
